isolate	normMeanAbund.water	normMeanAbund.drought	log2(Drought/Water)	Enrichment	fresh_weight_g.water	dry_weight_g.water	delta_dry.water	delta_fresh.water	fresh_weight_g.drought	dry_weight_g.drought	delta_dry.drought	delta_fresh.drought
Mock	8.583184219781339e-5	7.693468026566473e-5	-0.1578788867686128	Water	1.77225	0.2285	-6.938893903907228e-18	-1.1102230246251565e-16	0.1365	0.05125	1.734723475976807e-18	-1.0408340855860843e-17
SAI_001	0.08702199182439295	0.03771822913472653	-1.2061180954543407	Water	1.9757500000000001	0.24475000000000002	0.016250000000000007	0.20349999999999996	0.196	0.07350000000000001	0.022250000000000006	0.059499999999999983
SAI_025	0.1294301638176638	0.2639888216147262	1.028302963256134	Drought	1.67225	0.209	-0.01950000000000001	-0.10000000000000003	0.27325	0.08675	0.035500000000000004	0.13674999999999998
SAI_055	0.0359917442018151	0.02294971787734817	-0.6491896000509256	Water	2.04825	0.26525	0.036749999999999984	0.2759999999999998	0.2144999999999999	0.050749999999999997	-4.999999999999987e-4	0.0779999999999999
SAI_069	0.024438263238235603	0.033083116296272475	0.4369533766346504	Drought	1.8117500000000002	0.23575000000000002	0.0072499999999999926	0.03950000000000009	0.21524999999999994	0.06275	0.011500000000000002	0.07874999999999993
SAI_078	0.03373932460723229	0.035402902825370564	0.0694365633960752	Drought	1.3639999999999999	0.29000000000000015	0.06150000000000014	-0.4082500000000001	0.22325000000000028	0.11824999999999997	0.06699999999999998	0.08675000000000027
SAI_088	0.026243729476627394	0.016922050814430833	-0.6330683329142435	Water	1.2479999999999996	0.2942499999999999	0.06574999999999989	-0.5242500000000004	0.29274999999999984	0.16074999999999973	0.10949999999999974	0.15624999999999983
SAI_097	0.0649990680546236	0.2130622681322845	1.7127841860444253	Drought	1.3607500000000001	0.3287500000000003	0.10025000000000031	-0.4115	0.12824999999999998	0.08125000000000004	0.03000000000000004	-0.008250000000000035
SAI_127	0.06371523396834833	0.09222969771013899	0.5335930149968009	Drought	1.2000000000000002	0.23625000000000007	0.007750000000000062	-0.5722499999999999	0.17674999999999996	0.09350000000000025	0.04225000000000025	0.04024999999999995
SAI_129	0.032002123618101085	0.03460580375054059	0.11284636940374605	Drought	1.4599999999999997	0.211	-0.01750000000000001	-0.31225000000000036	0.08649999999999991	0.0295	-0.02175	-0.0500000000000001
SAI_142	0.12060394765221107	0.26682450546313324	1.1456140405160409	Drought	1.1910000000000003	0.1609	-0.06760000000000002	-0.5812499999999999	0.11775000000000013	0.0325	-0.018749999999999996	-0.018749999999999878
SAI_145	0.10935340779304113	0.12980314200924908	0.2473271256126627	Drought	1.436	0.1975	-0.031000000000000014	-0.33625000000000027	0.2510000000000001	0.07225	0.021	0.1145000000000001
SAI_170	0.08895699106743496	0.07882527075440371	-0.17444976995345296	Water	1.65625	0.2	-0.02850000000000001	-0.1160000000000001	0.22599999999999998	0.06925	0.018000000000000002	0.08949999999999998
SAI_176	0.1885037197568124	0.31161191828427254	0.7251574209299368	Drought	1.67575	0.20950000000000002	-0.019000000000000003	-0.09650000000000009	0.20675	0.0585	0.007250000000000005	0.07024999999999999
SAI_182	0.06083599084161401	0.19952753322528866	1.7135908545919032	Drought	1.4964999999999997	0.1985	-0.03	-0.2757500000000003	0.16525000000000012	0.0485	-0.0027499999999999955	0.02875000000000011
SAI_186	0.0292660632877447	0.05518069203221456	0.914934854656794	Drought	1.471	0.27474999999999994	0.04624999999999993	-0.30125000000000013	0.14125	0.08374999999999988	0.03249999999999988	0.0047499999999999765
SAI_205	0.08161741690536817	0.04230992844364938	-0.9478808059791468	Water	1.2755	0.16775	-0.060750000000000005	-0.4967499999999999	0.10799999999999998	0.035250000000000004	-0.015999999999999997	-0.028500000000000025
SAI_208	0.07605704257915269	0.0741731160499596	-0.036185463315382096	Water	1.5975000000000001	0.28900000000000015	0.06050000000000014	-0.17474999999999996	0.304	0.12866666666666657	0.07741666666666656	0.16749999999999995
SAI_214	0.03901749270009306	0.03392372842906677	-0.201826332230789	Water	1.2177499999999997	0.16	-0.0685	-0.5545000000000004	0.13874999999999993	0.04	-0.011249999999999996	0.0022499999999999187
SAI_216	0.022502721876766534	0.023709088683541615	0.07534069336956506	Drought	1.2670000000000003	0.1675	-0.06100000000000001	-0.5052499999999998	0.16250000000000053	0.0445	-0.006749999999999997	0.026000000000000523
SAI_227	0.014921584092593032	0.046521352380177246	1.6404923348095268	Drought	1.2205000000000001	0.23775000000000013	0.00925000000000012	-0.55175	0.13275000000000003	0.07299999999999995	0.021749999999999957	-0.0037499999999999756
SAI_229	0.17314363444750233	0.03108753754705315	-2.477561098416143	Water	1.63325	0.1875	-0.041	-0.13900000000000007	0.1275	0.042499999999999996	-0.008749999999999997	-0.009000000000000008
