sample	isolate	treatment	replicate	ANI_group	biolog	microbox_batch	shoot_freshweight_g	shoot_dryweight_g	percent_water_content
SAI216_water_2	SAI216	water	2	11	yes	B	1.305	0.171	0.868965517
SAI216_water_3	SAI216	water	3	11	yes	B	1.267	0.176	0.861089187
SAI216_water_4	SAI216	water	4	11	yes	B	0.89	0.113	0.873033708
SAI218_drought_1	SAI218	drought	1	16	no	G	0.268	0.074	0.723880597
SAI218_drought_2	SAI218	drought	2	16	no	G	0.255	0.068	0.733333333
SAI218_drought_3	SAI218	drought	3	16	no	G	0.284	0.079	0.721830986
SAI218_drought_4	SAI218	drought	4	16	no	G	0.245	0.066	0.730612245
SAI218_water_1	SAI218	water	1	16	no	G	1.137	0.167	0.853122252
SAI218_water_2	SAI218	water	2	16	no	G	2.144	0.243	0.886660448
SAI218_water_3	SAI218	water	3	16	no	G	1.405	0.167	0.88113879
SAI218_water_4	SAI218	water	4	16	no	G	1.319	0.16	0.878695982
SAI227_drought_1	SAI227	drought	1	1	yes	A	0.091	0.065	0.285714286
SAI227_drought_2	SAI227	drought	2	1	yes	A	0.146	0.088	0.397260274
SAI227_drought_3	SAI227	drought	3	1	yes	A	0.135	0.066	0.511111111
SAI227_drought_4	SAI227	drought	4	1	yes	A	0.159	0.073	0.540880503
SAI227_water_1	SAI227	water	1	1	yes	A	1.041	0.19	0.817483189
SAI227_water_2	SAI227	water	2	1	yes	A	1.38	0.278	0.798550725
SAI227_water_3	SAI227	water	3	1	yes	A	1.09	0.216	0.801834862
SAI227_water_4	SAI227	water	4	1	yes	A	1.371	0.267	0.805251641
SAI229_drought_1	SAI229	drought	1	9	yes	C	0.168	0.047	0.720238095
SAI229_drought_2	SAI229	drought	2	9	yes	C	0.057	0.031	0.456140351
SAI229_drought_3	SAI229	drought	3	9	yes	C	0.188	0.059	0.686170213
SAI229_drought_4	SAI229	drought	4	9	yes	C	0.097	0.033	0.659793814
SAI229_water_1	SAI229	water	1	9	yes	C	1.611	0.189	0.882681564
SAI229_water_2	SAI229	water	2	9	yes	C	1.675	0.2	0.880597015
SAI229_water_3	SAI229	water	3	9	yes	C	1.764	0.197	0.888321995
SAI229_water_4	SAI229	water	4	9	yes	C	1.483	0.164	0.889413351
